age,income_annual,monthly_expenses,cash_savings,total_assets,total_debt,risk_tolerance,knowledge_level,goal_years,target_amount,label
31,39976.34,1359.57,0.0,105534.78,43600.64,moderate,intermediate,22,1403072.33,capital_preservation
63,49776.97,3717.24,34548.94,146851.46,54447.73,moderate,intermediate,10,1294046.59,balanced_long_term
57,102422.28,4753.06,18722.84,197690.75,23377.88,high,intermediate,6,593818.1,balanced_long_term
51,56826.38,2318.12,0.0,125541.05,0.0,high,advanced,11,475927.44,capital_preservation
38,122000.32,6857.63,34013.6,571951.57,84881.46,moderate,intermediate,23,927205.66,balanced_long_term
56,161929.06,9195.74,60112.07,92214.36,76161.64,low,beginner,21,1179369.01,income_focus
52,125651.97,6355.61,44702.64,70319.64,39779.12,high,beginner,3,1555482.03,income_focus
50,124262.43,7025.38,15582.68,257230.98,17045.58,low,beginner,12,646844.59,capital_preservation
24,173890.44,6138.95,53044.39,141458.79,97192.11,low,intermediate,17,291332.79,income_focus
48,126726.27,7933.24,43689.26,82398.92,57911.74,moderate,beginner,6,2096380.64,income_focus
57,83106.13,4552.51,30709.74,32692.55,0.0,high,intermediate,23,2134107.67,growth_aggressive
18,91057.87,3800.05,56539.24,222155.13,0.0,low,advanced,13,867044.0,income_focus
21,133264.0,7018.78,66562.83,0.0,56778.32,high,beginner,4,508828.27,capital_preservation
52,85976.42,5894.01,72058.84,31250.12,51154.04,moderate,beginner,13,1299234.73,income_focus
40,160940.66,8699.41,13731.32,336897.51,92024.16,low,intermediate,6,1141055.53,capital_preservation
42,90455.82,1724.0,20604.0,55493.67,0.0,low,intermediate,5,977626.69,income_focus
65,98327.63,5696.41,3907.76,146912.04,69137.33,moderate,advanced,7,678031.47,capital_preservation
58,62426.71,3026.37,63697.36,54769.38,33517.79,low,beginner,26,2361006.51,income_focus
36,165185.33,8471.24,48974.04,239902.31,32853.21,moderate,beginner,8,990166.43,income_focus
35,147466.67,6378.94,30597.1,340297.2,100619.79,low,intermediate,26,1284519.19,income_focus
56,136569.56,4757.22,27540.49,93181.92,37098.85,moderate,beginner,10,10000.0,income_focus
41,97928.98,5233.32,35418.46,287975.71,0.0,high,intermediate,20,1548620.73,growth_aggressive
39,85223.05,4189.58,50199.54,0.0,31058.17,high,intermediate,25,1582912.4,growth_aggressive
40,60923.67,3905.01,49253.46,0.0,45817.08,moderate,beginner,18,91919.82,capital_preservation
35,31022.1,1207.82,6752.42,132397.72,0.0,moderate,beginner,11,1754792.86,income_focus
31,17163.35,1165.06,0.0,148002.37,0.0,low,beginner,11,942850.8,capital_preservation
21,106766.56,4886.55,0.0,247484.18,35249.95,high,intermediate,5,10000.0,capital_preservation
55,143317.87,6761.87,30837.72,110535.16,120471.91,high,intermediate,22,1427525.65,capital_preservation
47,142356.58,7273.71,58069.92,280508.91,43379.86,moderate,intermediate,15,268572.77,balanced_long_term
19,121305.09,7331.99,39620.46,292906.68,30570.99,high,intermediate,12,710145.35,growth_aggressive
21,37246.35,649.17,25196.82,162272.34,0.0,low,intermediate,2,1012378.88,income_focus
63,121336.93,6516.32,78053.99,97539.87,3032.92,low,intermediate,7,10000.0,income_focus
66,60494.32,3713.17,23934.06,18657.88,44771.44,moderate,beginner,1,630231.81,capital_preservation
25,35920.3,755.38,10834.23,0.0,0.0,moderate,beginner,3,1319285.95,income_focus
50,85556.25,2072.04,5890.22,79457.58,13812.88,high,beginner,23,1609072.16,capital_preservation
27,115528.13,6063.4,8730.35,275156.1,34019.78,moderate,beginner,11,1162721.37,capital_preservation
33,83314.61,2955.68,36081.92,119757.84,35818.07,moderate,intermediate,16,329287.73,balanced_long_term
48,110413.4,3605.96,30917.59,210138.69,62738.8,moderate,intermediate,26,2252710.32,balanced_long_term
61,129429.54,6337.18,7229.73,280378.9,38979.49,low,beginner,26,870300.17,capital_preservation
23,96082.51,4996.25,9540.75,0.0,98620.28,low,advanced,26,10000.0,capital_preservation
48,107910.29,6555.23,0.0,146945.5,45605.88,moderate,advanced,2,10000.0,capital_preservation
58,135615.82,6116.62,44034.96,146484.78,13634.62,low,beginner,2,1367776.45,income_focus
29,37532.09,1057.79,13331.36,0.0,44461.69,high,intermediate,29,1049328.76,capital_preservation
58,127060.69,6295.38,43293.83,229026.04,36942.34,moderate,advanced,19,750156.43,balanced_long_term
43,145398.2,7423.49,45811.22,207542.22,444.42,moderate,intermediate,28,1172092.36,balanced_long_term
36,126459.86,4965.49,14538.07,363792.59,75100.21,low,beginner,20,922964.54,capital_preservation
35,106270.74,7912.73,31311.6,238917.89,0.0,low,beginner,22,1301736.54,income_focus
35,128881.19,3775.03,49070.88,423501.51,0.0,moderate,intermediate,22,1703499.21,balanced_long_term
26,12000.0,950.0,31770.99,61666.44,27593.11,moderate,intermediate,26,1518898.02,balanced_long_term
37,135831.14,3840.14,0.0,102230.58,0.0,high,intermediate,29,10000.0,capital_preservation
69,112049.68,4477.82,23699.37,0.0,25926.9,moderate,intermediate,14,1284157.68,capital_preservation
44,73104.53,3694.06,43326.93,98197.03,38290.38,moderate,intermediate,20,1392159.75,balanced_long_term
58,102376.61,4726.17,17995.79,114187.78,15506.97,moderate,intermediate,25,1173660.12,balanced_long_term
30,61084.44,4835.85,5777.71,0.0,0.0,moderate,beginner,9,2028300.54,capital_preservation
43,44676.0,3536.85,2376.02,34730.91,73126.96,low,beginner,5,1186541.7,capital_preservation
50,57468.78,500.0,7402.3,223554.37,44067.44,moderate,beginner,16,1170154.76,income_focus
51,104382.37,4984.27,6171.65,260635.37,0.0,moderate,advanced,17,10000.0,capital_preservation
23,84644.01,3324.42,47070.36,183660.13,35717.42,moderate,beginner,1,3384898.37,income_focus
47,93787.69,2246.04,9860.67,278366.86,0.0,moderate,beginner,1,2028058.38,income_focus
49,69874.39,972.39,28774.95,184164.6,0.0,moderate,beginner,19,1849236.96,income_focus
69,114415.72,5868.92,50315.74,0.0,0.0,low,beginner,9,1291102.69,income_focus
56,135269.76,7578.06,12007.81,231533.78,13431.15,low,intermediate,25,10000.0,capital_preservation
25,110488.39,4349.21,75806.34,124040.85,43971.71,moderate,beginner,25,921261.47,income_focus
47,139170.2,7080.8,33433.85,342002.21,150248.9,moderate,beginner,19,1127970.31,income_focus
47,58036.1,2326.01,0.0,0.0,0.0,low,intermediate,18,1401994.6,capital_preservation
34,52240.88,4044.07,41225.48,81739.31,583.25,high,beginner,17,1294022.8,income_focus
49,73787.36,3628.35,0.0,159925.29,7025.23,high,intermediate,8,1838375.8,capital_preservation
59,68024.39,1963.91,13257.71,34552.39,0.0,moderate,intermediate,5,1429296.33,balanced_short_term
30,119696.63,4990.36,36737.97,147261.29,59432.37,low,intermediate,14,10000.0,income_focus
62,75807.87,1206.08,31643.51,229552.86,127667.01,moderate,beginner,1,167934.23,income_focus
49,94104.32,3339.56,19152.83,0.0,69991.58,low,intermediate,24,10000.0,capital_preservation
61,72418.4,3305.63,30097.91,281316.61,54654.88,moderate,beginner,5,1427280.91,income_focus
38,130410.04,7264.74,48816.65,21059.74,11985.11,high,intermediate,11,983990.19,growth_aggressive
57,144185.65,8047.51,66184.93,91839.2,69770.4,low,beginner,17,784396.65,income_focus
69,105733.39,7267.48,30864.1,452336.42,44107.54,moderate,beginner,25,1832922.06,income_focus
69,55882.86,4098.77,42926.28,219670.45,5071.35,low,advanced,5,1586888.64,income_focus
23,101566.59,7025.0,47821.51,124173.97,68696.76,moderate,beginner,26,811592.07,income_focus
65,86155.35,3688.75,35940.58,330109.97,47505.14,moderate,beginner,29,754081.7,income_focus
60,60097.28,2559.9,18409.97,296317.92,11445.5,moderate,beginner,29,1537473.3,income_focus
20,158102.4,7490.4,53884.46,218727.57,76456.59,high,advanced,25,1103315.27,growth_aggressive
63,71763.14,2998.15,60624.84,432910.32,0.0,low,beginner,12,922533.69,income_focus
35,111606.38,5321.73,41124.98,84359.23,29297.32,moderate,beginner,27,129017.35,income_focus
23,119384.87,5766.23,45122.75,0.0,0.0,high,beginner,25,1918472.02,income_focus
62,122950.52,4568.93,56960.22,569405.09,0.0,high,beginner,11,538052.0,income_focus
20,75695.25,3625.1,0.0,207207.81,0.0,high,beginner,16,10000.0,capital_preservation
30,81969.58,6046.1,51026.3,27176.89,25289.76,low,advanced,29,1328138.29,income_focus
21,76005.42,3422.91,51616.16,114452.77,10802.01,moderate,intermediate,23,10000.0,balanced_long_term
69,152428.91,6738.41,55717.52,0.0,76082.57,moderate,intermediate,2,1135719.97,capital_preservation
32,12000.0,950.0,9075.44,0.0,0.0,low,beginner,10,2210080.72,income_focus
42,22775.73,1314.03,4360.36,137848.83,32240.83,moderate,intermediate,19,247390.44,balanced_long_term
28,76518.7,4000.27,0.0,199327.21,57315.1,low,advanced,11,265466.5,capital_preservation
18,16994.98,1345.44,118.77,13992.33,0.0,moderate,beginner,17,1460189.14,capital_preservation
52,107438.61,5031.08,10765.76,263718.69,0.0,moderate,beginner,29,2079957.35,capital_preservation
69,71424.37,2510.65,10282.95,172393.42,0.0,moderate,intermediate,13,953587.57,balanced_long_term
54,24486.49,1938.51,4627.97,141949.44,0.0,low,beginner,19,450621.96,capital_preservation
49,31132.55,2464.66,5373.59,124040.52,0.0,moderate,beginner,5,1825894.4,capital_preservation
66,45826.06,2286.92,23932.08,265880.87,30189.14,moderate,intermediate,1,135238.46,balanced_short_term
46,36224.67,500.0,28942.66,89143.01,15858.48,low,beginner,13,329296.0,income_focus
29,19784.13,500.0,0.0,73131.2,0.0,moderate,beginner,14,1583016.3,capital_preservation
60,166541.53,6810.31,47105.87,95092.06,44887.97,moderate,beginner,20,1762766.35,income_focus
31,47073.45,3355.69,10666.23,31658.54,0.0,moderate,beginner,28,1230558.07,income_focus
48,73198.89,5794.91,50924.99,23270.88,14675.01,low,beginner,27,474080.51,income_focus
55,150343.97,5314.41,9382.32,167536.92,35148.57,moderate,beginner,14,1708241.76,capital_preservation
60,72115.9,1563.27,37572.48,167100.4,76680.46,moderate,beginner,1,1127534.15,income_focus
41,18840.3,1491.52,4197.69,0.0,0.0,high,intermediate,3,2256013.5,capital_preservation
62,173290.25,7890.94,67155.15,205787.68,40067.64,low,advanced,27,1965319.19,income_focus
66,71547.01,2509.28,0.0,0.0,16867.08,high,beginner,15,10000.0,capital_preservation
62,38453.9,2948.48,16778.31,0.0,16361.79,moderate,intermediate,5,1410219.64,capital_preservation
51,12000.0,500.0,55080.27,177135.49,0.0,low,intermediate,18,2283326.17,income_focus
31,50449.2,2353.24,0.0,0.0,19114.97,moderate,beginner,12,714133.52,capital_preservation
48,19684.6,1177.23,6570.51,235252.54,0.0,moderate,advanced,21,10000.0,balanced_long_term
44,108955.27,4728.72,15845.69,146763.48,72070.6,low,beginner,15,260637.39,income_focus
39,91151.46,5966.31,2003.72,154147.21,24176.59,low,advanced,28,2058072.14,capital_preservation
50,131173.24,5266.45,17155.69,342334.65,85666.02,low,beginner,13,783585.41,income_focus
52,55226.9,3616.11,0.0,261059.11,6696.05,moderate,beginner,26,1017898.32,capital_preservation
45,83648.94,4906.49,4340.93,110324.98,29688.6,low,beginner,8,2356224.32,capital_preservation
21,74304.24,3200.37,0.0,0.0,4779.81,low,beginner,23,636516.86,capital_preservation
25,154802.97,8601.6,17373.49,172774.62,126730.48,low,intermediate,6,1538760.97,capital_preservation
43,59284.77,2980.55,37985.19,0.0,21243.49,moderate,beginner,28,577674.94,income_focus
54,70508.98,2453.56,18916.11,0.0,41830.27,moderate,beginner,20,848013.26,capital_preservation
48,12000.0,950.0,80547.15,3278.85,0.0,low,advanced,13,1731225.88,income_focus
56,110352.95,8144.16,43149.26,26977.19,49896.72,moderate,beginner,15,283088.06,capital_preservation
36,46399.9,1470.92,48753.74,82014.71,0.0,moderate,beginner,23,61539.52,income_focus
60,129110.52,5245.14,71541.22,107565.73,35668.21,moderate,advanced,15,2573132.96,balanced_long_term
58,69422.71,4699.61,0.0,172136.13,73156.84,low,intermediate,26,1412697.3,capital_preservation
43,172679.19,7840.1,29860.35,148621.18,99516.28,high,advanced,8,1077017.33,balanced_long_term
18,97591.91,7550.38,21358.01,94139.19,74770.44,low,intermediate,20,1123515.71,capital_preservation
52,12000.0,500.0,0.0,63520.7,0.0,moderate,advanced,13,816859.81,capital_preservation
28,113001.64,4213.84,3615.96,312104.46,53735.42,low,beginner,2,1006698.9,capital_preservation
28,48241.84,3819.15,0.0,259084.73,9329.89,high,beginner,5,1860138.82,capital_preservation
64,133403.59,8330.06,26883.57,204270.12,25753.39,low,advanced,7,246824.11,income_focus
57,157490.54,7967.77,92381.89,182183.18,60172.94,moderate,advanced,2,10000.0,balanced_short_term
26,99556.33,4493.93,15129.98,41964.02,63953.23,moderate,beginner,27,2555838.55,capital_preservation
36,17269.24,500.0,14853.58,17470.03,0.0,low,advanced,7,2435744.06,income_focus
24,137560.15,4784.33,8689.81,292939.66,91495.28,moderate,intermediate,14,10000.0,capital_preservation
57,122661.53,5100.04,24439.51,48416.84,16997.2,moderate,beginner,27,1054693.67,income_focus
39,70835.26,1329.7,0.0,269493.66,19093.04,moderate,beginner,29,973015.98,capital_preservation
19,12000.0,795.93,1775.34,196324.67,42787.18,high,advanced,29,10000.0,capital_preservation
58,73195.85,2269.47,23226.54,85461.45,87157.16,low,beginner,8,1675485.31,capital_preservation
22,120262.23,7215.38,45282.62,200511.52,91658.66,low,intermediate,4,2291182.69,income_focus
27,84632.09,3334.71,57737.36,222998.34,42244.48,high,beginner,29,983718.66,income_focus
18,90806.9,4480.49,13316.85,244669.44,83335.71,moderate,intermediate,13,1566866.13,capital_preservation
50,29391.43,2154.38,11001.15,355312.91,68577.84,moderate,beginner,26,1122791.69,income_focus
54,12000.0,500.0,1807.07,0.0,0.0,low,advanced,24,503707.3,income_focus
56,162575.22,8245.94,26636.29,235661.1,55768.79,moderate,advanced,20,1757893.02,balanced_long_term
31,35738.66,1586.25,11884.91,0.0,10878.68,moderate,intermediate,13,2672346.34,capital_preservation
21,150202.03,10244.36,56504.41,244871.47,91520.32,moderate,beginner,6,514204.27,income_focus
69,55664.09,1726.96,24252.86,66970.76,0.0,high,beginner,26,337771.07,income_focus
19,94852.25,5625.73,42533.11,270906.73,57534.13,high,intermediate,28,1689559.59,growth_aggressive
19,142198.23,3702.47,28287.98,176602.5,95876.7,moderate,advanced,9,2058375.38,balanced_long_term
35,33645.31,1260.93,456.17,0.0,37770.98,low,advanced,14,674908.5,capital_preservation
22,83630.78,5858.67,0.0,10612.84,29492.41,moderate,beginner,19,905443.35,capital_preservation
38,87901.1,4782.58,16068.61,77468.28,24134.79,moderate,intermediate,13,1346165.44,balanced_long_term
46,141769.08,7207.01,64693.93,91333.16,34763.71,moderate,intermediate,16,1939079.07,balanced_long_term
33,33334.0,977.88,6428.61,120273.68,0.0,moderate,intermediate,18,10000.0,balanced_long_term
23,92294.13,4728.95,19530.58,94550.39,66085.78,low,intermediate,21,1028292.17,income_focus
32,162320.68,8383.29,70944.09,170208.13,35844.92,low,intermediate,12,243981.28,income_focus
36,124750.82,5350.93,47230.47,213874.14,72455.91,high,intermediate,14,956471.1,growth_aggressive
61,56720.31,500.0,0.0,77754.7,22407.48,moderate,beginner,12,1061147.71,capital_preservation
22,134688.25,5465.08,30164.97,71321.4,103897.13,moderate,intermediate,15,914158.74,capital_preservation
28,73717.65,2737.36,2072.57,151251.9,11479.01,moderate,beginner,17,1058230.43,capital_preservation
19,70525.82,3470.96,36331.51,189976.59,46793.18,low,beginner,26,217063.27,income_focus
23,85884.25,2992.82,23872.49,12971.58,0.0,high,intermediate,4,372224.76,balanced_short_term
34,104036.62,6418.23,15932.31,130187.32,79278.09,moderate,intermediate,15,2833075.23,capital_preservation
48,80612.35,2832.0,13533.79,70712.32,60684.69,moderate,advanced,18,870861.13,capital_preservation
55,31732.54,500.0,57751.71,0.0,5612.27,moderate,beginner,21,2329592.44,income_focus
36,16673.57,500.0,0.0,0.0,0.0,low,beginner,29,2119976.17,capital_preservation
29,73828.59,3910.58,0.0,185584.05,5912.31,moderate,intermediate,4,650688.99,capital_preservation
42,127735.6,4912.18,75309.47,32596.24,109324.67,low,intermediate,19,632352.91,capital_preservation
64,121061.08,7348.42,60028.39,133008.85,49741.59,high,advanced,10,140274.32,growth_aggressive
64,96232.25,2116.47,22899.22,326271.4,78557.73,low,beginner,13,1344872.73,income_focus
23,134956.94,5929.22,79521.74,0.0,83960.78,moderate,intermediate,4,10000.0,capital_preservation
21,115426.18,7432.52,54057.8,101871.83,244.66,moderate,intermediate,14,416369.29,balanced_long_term
39,108628.24,5374.68,19485.35,242223.11,37401.05,moderate,beginner,22,892020.92,income_focus
46,111992.2,5056.19,40220.8,113525.12,0.0,low,intermediate,10,1662838.72,income_focus
32,71485.69,4935.22,9025.67,31321.81,99909.38,low,intermediate,21,10000.0,capital_preservation
44,178198.72,8203.14,37949.57,127167.85,105663.27,moderate,advanced,16,74123.29,balanced_long_term
54,136969.84,6239.88,5388.74,389763.6,33302.17,moderate,beginner,29,515526.15,capital_preservation
33,56973.06,3504.56,4858.26,128142.8,0.0,moderate,beginner,11,2440675.62,capital_preservation
60,102299.32,2810.09,63577.48,96184.19,77826.11,low,intermediate,17,1503259.32,income_focus
57,134135.79,5237.11,52982.3,154379.05,60929.84,low,intermediate,23,193979.72,income_focus
59,86988.45,3338.79,20371.41,146563.22,5791.68,moderate,intermediate,2,2759299.78,balanced_short_term
63,97289.23,5865.63,0.0,0.0,18079.59,moderate,intermediate,22,1154242.48,capital_preservation
56,33778.12,2027.72,8804.27,92368.3,0.0,high,beginner,14,2330636.67,income_focus
56,118427.23,5356.31,21413.25,253518.69,29482.59,high,advanced,8,1954316.62,balanced_long_term
66,169930.34,7767.44,10166.72,204545.45,59932.6,low,beginner,14,2679627.16,capital_preservation
45,84511.13,2319.47,59788.63,135923.51,18012.32,moderate,beginner,5,1110156.38,income_focus
23,133918.92,6012.66,62449.75,176742.04,41423.63,high,beginner,28,343120.03,income_focus
69,85047.12,4043.46,0.0,99873.98,61575.7,moderate,beginner,13,1121804.54,capital_preservation
21,38626.8,1726.78,34508.53,0.0,0.0,moderate,intermediate,8,930731.34,balanced_long_term
58,89151.95,2641.81,0.0,0.0,0.0,low,advanced,7,1349668.84,capital_preservation
31,119179.02,4231.07,30775.45,185110.69,134824.87,low,beginner,25,1513786.72,income_focus
38,12000.0,500.0,0.0,0.0,0.0,moderate,beginner,14,10000.0,capital_preservation
58,132062.38,6016.64,8530.74,36252.49,37021.86,low,intermediate,1,10000.0,capital_preservation
26,90199.73,4361.96,58576.85,82764.13,2537.24,high,advanced,10,931776.33,growth_aggressive
41,12000.0,500.0,11995.64,34351.0,52182.18,high,beginner,21,2036890.48,capital_preservation
63,161945.47,9643.52,64265.5,327683.82,48471.63,low,beginner,10,1465938.71,income_focus
42,76400.22,675.47,62177.3,88143.38,44963.29,moderate,intermediate,20,2083257.78,balanced_long_term
59,192881.95,10144.95,53450.55,460332.44,20763.29,moderate,intermediate,25,10000.0,balanced_long_term
61,108947.93,7356.52,0.0,356577.62,15752.94,low,intermediate,17,184110.97,capital_preservation
26,34945.06,2489.99,0.0,0.0,0.0,moderate,beginner,17,1025657.59,capital_preservation
31,133708.97,5756.21,7321.69,209694.79,65624.12,high,advanced,16,460609.83,capital_preservation
41,50753.47,3174.65,0.0,0.0,4408.16,low,beginner,8,544938.37,capital_preservation
47,67301.59,3266.91,285.93,278292.74,43083.74,high,beginner,20,1093011.49,capital_preservation
31,57982.79,3578.35,15542.06,265962.17,71929.63,moderate,intermediate,21,1379954.43,balanced_long_term
64,160613.82,7455.63,30012.39,185766.92,7693.41,high,beginner,6,1823611.19,income_focus
64,90725.87,5538.54,0.0,378280.66,14742.64,low,intermediate,21,1544596.79,capital_preservation
56,129882.31,6575.82,76492.61,257502.76,124044.23,low,beginner,1,2958327.01,income_focus
48,152299.48,7012.54,64602.13,145831.75,78334.6,low,intermediate,23,1329001.13,income_focus
19,12000.0,500.0,13263.79,44833.79,42646.29,moderate,intermediate,14,1885920.07,capital_preservation
36,111520.77,4710.71,5072.24,207666.47,88130.32,low,advanced,18,1656805.72,capital_preservation
66,81068.29,2883.93,4386.22,222144.84,26688.03,high,beginner,16,1623873.59,capital_preservation
48,99867.45,6064.91,0.0,144384.69,28125.84,moderate,intermediate,27,10000.0,capital_preservation
26,131418.57,5799.7,29418.47,247341.78,59789.18,moderate,beginner,21,263520.77,income_focus
63,137505.24,6525.62,0.0,192488.38,55903.07,high,intermediate,6,10000.0,capital_preservation
50,92467.99,2263.18,31903.62,131920.91,53020.37,moderate,beginner,27,421866.53,income_focus
60,85847.13,4112.21,16693.79,77972.35,15990.36,moderate,beginner,23,581520.99,income_focus
61,103945.6,3108.2,47053.58,46713.73,72743.42,moderate,advanced,26,2206873.73,capital_preservation
46,128784.52,6424.53,21085.02,266539.32,93443.2,high,beginner,11,1637865.4,income_focus
47,96316.89,4579.21,0.0,133666.68,42558.37,moderate,beginner,12,1015980.62,capital_preservation
30,114840.06,5464.09,0.0,387146.81,34518.38,low,beginner,2,633691.26,capital_preservation
47,147371.99,7287.82,34155.49,295352.15,54532.08,low,intermediate,28,669131.69,income_focus
55,94189.94,5040.56,8069.06,226501.27,0.0,moderate,advanced,23,195961.17,capital_preservation
43,41392.64,1058.46,41733.35,0.0,6961.72,low,advanced,9,1635052.18,income_focus
39,109188.84,5092.8,14187.79,65986.95,89812.32,moderate,intermediate,11,1029873.83,capital_preservation
42,34230.52,1782.08,0.0,0.0,0.0,high,advanced,1,936178.77,capital_preservation
51,114283.27,5159.33,42992.95,149475.62,8514.44,low,advanced,10,1404578.89,income_focus
65,126320.46,5383.54,58143.45,54765.91,17101.37,moderate,intermediate,18,2249956.68,balanced_long_term
23,167698.55,7338.59,69393.83,138486.11,75502.51,moderate,intermediate,26,1350007.6,balanced_long_term
53,104212.73,5864.17,13520.18,40044.74,17506.99,moderate,beginner,29,1076567.97,capital_preservation
40,160346.17,6485.91,74872.37,115570.54,59032.26,high,intermediate,13,684806.58,growth_aggressive
55,103953.06,4116.59,41387.01,379428.65,55251.6,moderate,intermediate,2,10000.0,balanced_short_term
32,39245.82,1090.9,63860.0,28477.34,0.0,moderate,beginner,16,664435.64,income_focus
47,86924.54,2110.12,35330.88,82810.9,92017.65,low,intermediate,28,2331773.52,capital_preservation
60,76305.41,3963.68,0.0,146893.51,17710.08,high,intermediate,14,1053448.54,capital_preservation
26,58052.81,1994.55,11548.51,81708.3,2764.51,low,advanced,23,452150.31,income_focus
18,46474.82,3679.26,12090.25,90924.59,0.0,moderate,intermediate,27,872637.22,balanced_long_term
37,72516.84,500.0,0.0,284446.43,58596.8,moderate,intermediate,13,1504740.57,capital_preservation
34,38323.71,3033.96,11195.13,356768.3,0.0,moderate,beginner,2,2002036.45,income_focus
46,38967.25,1204.0,0.0,0.0,40321.21,moderate,beginner,11,1417179.35,capital_preservation
54,142904.47,6130.88,49036.15,288842.25,104848.43,moderate,intermediate,4,1042845.71,balanced_short_term
28,38458.26,1939.66,589.1,0.0,40319.79,low,intermediate,8,653065.86,capital_preservation
32,83158.77,3906.36,9773.79,180282.18,83078.29,moderate,advanced,4,1454672.65,capital_preservation
46,45574.65,1842.85,0.0,0.0,0.0,moderate,beginner,10,947930.22,capital_preservation
66,88551.63,3538.02,49402.25,113432.36,58846.31,low,beginner,2,932006.37,income_focus
66,80134.56,2778.68,29582.72,0.0,28635.17,low,intermediate,29,426874.18,capital_preservation
68,93286.61,6132.19,0.0,30597.62,144828.81,high,intermediate,11,563087.39,capital_preservation
29,95841.43,5364.47,1168.8,87275.28,70490.67,high,advanced,18,828913.61,capital_preservation
39,71775.99,1773.23,23301.83,89756.01,47089.22,high,intermediate,17,10000.0,growth_aggressive
23,70111.01,3013.5,43734.36,18834.25,78586.23,moderate,intermediate,20,264534.39,capital_preservation
34,133547.57,6254.59,14756.96,341148.84,12279.29,high,beginner,22,164797.88,capital_preservation
43,134011.17,6395.51,64688.45,337049.04,47213.44,moderate,advanced,15,1572500.58,balanced_long_term
43,70298.83,3628.21,54313.98,36445.89,0.0,low,beginner,11,884314.88,income_focus
68,49038.53,2391.79,23389.95,25529.85,50751.88,moderate,intermediate,10,1145578.08,capital_preservation
26,56542.37,1834.6,44745.5,161074.81,0.0,low,beginner,5,569544.88,income_focus
42,79368.45,3779.22,0.0,71982.24,41309.85,moderate,beginner,11,842306.69,capital_preservation
32,25054.72,902.92,0.0,0.0,0.0,moderate,advanced,8,1164908.02,capital_preservation
54,12000.0,950.0,0.0,0.0,2015.4,moderate,beginner,25,10000.0,capital_preservation
33,51305.89,1423.81,37077.94,0.0,29996.23,moderate,intermediate,17,900151.1,capital_preservation
19,77250.09,4061.9,0.0,0.0,42139.41,moderate,intermediate,13,606300.61,capital_preservation
31,64305.5,3452.39,30942.28,302707.07,9825.74,moderate,beginner,7,2164275.25,income_focus
31,105387.75,8343.2,34473.06,1803.06,29049.57,moderate,beginner,2,698057.8,capital_preservation
62,22302.29,1765.6,13046.77,6396.79,38111.31,moderate,beginner,13,1513748.55,capital_preservation
46,115159.97,6181.9,32857.96,146292.61,101521.9,moderate,intermediate,15,1310431.31,balanced_long_term
47,48647.99,1805.08,0.0,0.0,0.0,high,beginner,24,1415793.5,capital_preservation
33,113858.67,4548.74,39791.67,169091.77,32143.03,moderate,beginner,11,2008303.73,income_focus
24,133849.13,7262.64,50138.42,0.0,91512.5,high,intermediate,11,270600.38,capital_preservation
41,173937.49,6823.76,72137.04,275116.68,44073.32,moderate,beginner,6,989684.22,income_focus
62,67205.03,4190.59,23156.02,0.0,57581.29,moderate,beginner,28,1560007.23,capital_preservation
62,32545.24,2576.5,7704.12,39051.64,0.0,low,intermediate,19,10000.0,capital_preservation
54,144704.86,7630.86,29800.82,381847.9,80564.39,low,beginner,15,1246988.3,income_focus
53,85202.73,4275.34,0.0,105085.65,17698.71,high,beginner,21,713870.49,capital_preservation
50,128203.19,5823.72,76953.16,271770.4,28462.2,low,intermediate,17,1644547.07,income_focus
26,47933.68,2743.79,42627.33,0.0,71755.64,low,intermediate,29,10000.0,capital_preservation
34,84113.28,3776.11,36858.33,60231.46,0.0,low,intermediate,10,1173079.6,income_focus
41,125565.1,5009.39,9648.34,123260.67,86941.39,low,intermediate,7,1694580.81,capital_preservation
33,94435.72,5808.91,49510.88,68976.81,34117.87,moderate,intermediate,8,38091.53,balanced_long_term
34,56821.43,2120.85,0.0,50780.53,41176.81,low,beginner,1,440409.58,capital_preservation
67,95982.71,5003.19,30409.38,49485.54,43468.11,low,beginner,4,1556447.44,income_focus
22,127700.3,5122.91,61409.13,132320.57,70835.16,moderate,advanced,2,10000.0,balanced_short_term
54,89099.05,3591.65,66179.46,0.0,8641.42,low,beginner,5,1773559.8,income_focus
59,53464.33,1582.84,0.0,236950.75,63552.69,moderate,beginner,28,20003.08,capital_preservation
25,109720.21,2549.47,19397.3,358775.82,29701.7,low,advanced,5,186790.3,income_focus
47,79208.76,2487.39,0.0,299625.37,0.0,low,beginner,19,980770.5,capital_preservation
29,58064.86,3342.79,0.0,139862.18,0.0,low,beginner,21,1466721.48,capital_preservation
20,32365.1,656.99,12746.67,0.0,10798.84,high,beginner,7,1393990.73,capital_preservation
41,60625.56,500.0,18491.72,0.0,0.0,moderate,beginner,27,971454.91,income_focus
39,19998.43,1211.22,3501.96,177504.95,0.0,low,intermediate,4,930974.66,capital_preservation
48,199823.5,7864.27,48338.37,341337.82,80642.92,low,intermediate,25,823801.1,income_focus
60,181759.86,8066.67,60363.24,232481.45,49425.41,high,advanced,25,879534.14,growth_aggressive
57,137718.6,4876.06,20000.97,98765.05,105902.73,high,beginner,6,1727621.11,capital_preservation
35,23043.5,500.0,27254.98,0.0,23746.29,low,beginner,4,1353688.61,capital_preservation
